measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,86,Italy,3,Both,1,<5 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,1,<5 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,1,<5 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,2,0-6 days,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,2,0-6 days,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,2,0-6 days,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,3,7-27 days,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,3,7-27 days,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,3,7-27 days,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,4,28-364 days,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,4,28-364 days,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,4,28-364 days,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,5,1-4 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,5,1-4 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,5,1-4 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,6,5-9 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,6,5-9 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,6,5-9 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,7,10-14 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,7,10-14 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,7,10-14 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,8,15-19 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,8,15-19 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,8,15-19 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,9,20-24 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,9,20-24 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,9,20-24 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,10,25-29 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,10,25-29 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,10,25-29 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,11,30-34 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,11,30-34 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,11,30-34 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,12,35-39 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,12,35-39 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,12,35-39 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,13,40-44 years,543,Alzheimer's disease and other dementias,1,Number,2019,409.88946873539373,668.3915954228087,191.75457591986276
5,Prevalence,86,Italy,3,Both,13,40-44 years,543,Alzheimer's disease and other dementias,2,Percent,2019,9.374934837912763e-05,0.00015298801707664655,4.379185812163477e-05
5,Prevalence,86,Italy,3,Both,13,40-44 years,543,Alzheimer's disease and other dementias,3,Rate,2019,9.270593397381482,15.117213746694414,4.336970917854822
5,Prevalence,86,Italy,3,Both,14,45-49 years,543,Alzheimer's disease and other dementias,1,Number,2019,3458.874995352276,5035.477446703047,2044.7265559392406
5,Prevalence,86,Italy,3,Both,14,45-49 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0007218999285477843,0.0010499170123349126,0.00042706061386828123
5,Prevalence,86,Italy,3,Both,14,45-49 years,543,Alzheimer's disease and other dementias,3,Rate,2019,71.54391098766283,104.15460249687781,42.29344365112807
5,Prevalence,86,Italy,3,Both,15,50-54 years,543,Alzheimer's disease and other dementias,1,Number,2019,9883.904005698509,13555.197183271666,6594.098686009222
5,Prevalence,86,Italy,3,Both,15,50-54 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0020101862361603757,0.0027582222823460327,0.001341457162965372
5,Prevalence,86,Italy,3,Both,15,50-54 years,543,Alzheimer's disease and other dementias,3,Rate,2019,199.87645815479422,274.11889077636886,133.34863322456565
5,Prevalence,86,Italy,3,Both,16,55-59 years,543,Alzheimer's disease and other dementias,1,Number,2019,17486.016312956293,22824.019174616,12334.871467733745
5,Prevalence,86,Italy,3,Both,16,55-59 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.003964076464816735,0.005173258816986425,0.002795991360624147
5,Prevalence,86,Italy,3,Both,16,55-59 years,543,Alzheimer's disease and other dementias,3,Rate,2019,395.11631822630454,515.7345310674821,278.7203736344721
5,Prevalence,86,Italy,3,Both,17,60-64 years,543,Alzheimer's disease and other dementias,1,Number,2019,29150.64847062756,37424.004919936444,21827.790811100847
5,Prevalence,86,Italy,3,Both,17,60-64 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.007587105448617649,0.009739783574164456,0.005683394058521875
5,Prevalence,86,Italy,3,Both,17,60-64 years,543,Alzheimer's disease and other dementias,3,Rate,2019,757.4442811171201,972.4174243213527,567.1686973258345
5,Prevalence,86,Italy,3,Both,18,65-69 years,543,Alzheimer's disease and other dementias,1,Number,2019,53887.9419132236,68281.42636333797,41784.90051879458
5,Prevalence,86,Italy,3,Both,18,65-69 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.015440556181455034,0.019561793983015413,0.011974192533196627
5,Prevalence,86,Italy,3,Both,18,65-69 years,543,Alzheimer's disease and other dementias,3,Rate,2019,1542.753091689487,1954.8228766398279,1196.2561970749377
5,Prevalence,86,Italy,3,Both,19,70-74 years,543,Alzheimer's disease and other dementias,1,Number,2019,111497.87666663888,142951.61852323147,86311.79427286386
5,Prevalence,86,Italy,3,Both,19,70-74 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.03450147235936183,0.04423569650029805,0.02670529404590606
5,Prevalence,86,Italy,3,Both,19,70-74 years,543,Alzheimer's disease and other dementias,3,Rate,2019,3448.697139197873,4421.580505239191,2669.6762923820274
5,Prevalence,86,Italy,3,Both,20,75-79 years,543,Alzheimer's disease and other dementias,1,Number,2019,206194.86701376794,260262.0635939116,162618.4116766673
5,Prevalence,86,Italy,3,Both,20,75-79 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.07557907167666043,0.09539233537316652,0.05960515684697423
5,Prevalence,86,Italy,3,Both,20,75-79 years,543,Alzheimer's disease and other dementias,3,Rate,2019,7556.024503454259,9537.320488699928,5959.16242308624
5,Prevalence,86,Italy,3,Both,21,80+ years,543,Alzheimer's disease and other dementias,1,Number,2019,937035.6737798792,1133322.3691889087,754166.8366811167
5,Prevalence,86,Italy,3,Both,21,80+ years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.21645479031627576,0.2617902030118633,0.1742108869607927
5,Prevalence,86,Italy,3,Both,21,80+ years,543,Alzheimer's disease and other dementias,3,Rate,2019,21642.8519552604,26176.514875892033,17419.103298398823
5,Prevalence,86,Italy,3,Both,22,All ages,543,Alzheimer's disease and other dementias,1,Number,2019,1369005.6926268793,1604010.7935655615,1148212.601804209
5,Prevalence,86,Italy,3,Both,22,All ages,543,Alzheimer's disease and other dementias,2,Percent,2019,0.02352447861259899,0.0275344526909771,0.019706087307535654
5,Prevalence,86,Italy,3,Both,22,All ages,543,Alzheimer's disease and other dementias,3,Rate,2019,2269.8287848090354,2659.470219874241,1903.7510425940923
5,Prevalence,86,Italy,3,Both,23,5-14 years,543,Alzheimer's disease and other dementias,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,23,5-14 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,23,5-14 years,543,Alzheimer's disease and other dementias,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,24,15-49 years,543,Alzheimer's disease and other dementias,1,Number,2019,3868.7644640876706,5702.692744806494,2256.2254371535096
5,Prevalence,86,Italy,3,Both,24,15-49 years,543,Alzheimer's disease and other dementias,2,Percent,2019,0.00015611964219157452,0.0002307157756796402,9.09270180337709e-05
5,Prevalence,86,Italy,3,Both,24,15-49 years,543,Alzheimer's disease and other dementias,3,Rate,2019,15.255759722769866,22.487517938900133,8.897009231016172
5,Prevalence,86,Italy,3,Both,28,<1 year,567,Depressive disorders,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,28,<1 year,567,Depressive disorders,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,28,<1 year,567,Depressive disorders,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,30,80-84,567,Depressive disorders,1,Number,2019,115029.6707797698,143255.63278633574,87925.96670584322
5,Prevalence,86,Italy,3,Both,30,80-84,567,Depressive disorders,2,Percent,2019,0.0530425992758005,0.06605519180282507,0.04054347543762108
5,Prevalence,86,Italy,3,Both,30,80-84,567,Depressive disorders,3,Rate,2019,5303.4323470441495,6604.787718378376,4053.818574041382
5,Prevalence,86,Italy,3,Both,31,85-89,567,Depressive disorders,1,Number,2019,76969.24283741588,92719.73607914182,62138.01971383299
5,Prevalence,86,Italy,3,Both,31,85-89,567,Depressive disorders,2,Percent,2019,0.05594137429439102,0.067387602298339,0.04516177315497067
5,Prevalence,86,Italy,3,Both,31,85-89,567,Depressive disorders,3,Rate,2019,5593.565541207414,6738.196994059787,4515.739963875581
5,Prevalence,86,Italy,3,Both,32,90-94,567,Depressive disorders,1,Number,2019,36651.33151720443,46249.504784483404,28822.456595308522
5,Prevalence,86,Italy,3,Both,32,90-94,567,Depressive disorders,2,Percent,2019,0.05995014771752773,0.07564985638508603,0.04714433682459091
5,Prevalence,86,Italy,3,Both,32,90-94,567,Depressive disorders,3,Rate,2019,5994.609846067675,7564.465608205144,4714.136565897766
5,Prevalence,86,Italy,3,Both,37,20+ years,567,Depressive disorders,1,Number,2019,2542588.6155297365,2826169.6817341642,2273348.604977573
5,Prevalence,86,Italy,3,Both,37,20+ years,567,Depressive disorders,2,Percent,2019,0.051889806456477304,0.05770976057087131,0.04639031967017747
5,Prevalence,86,Italy,3,Both,37,20+ years,567,Depressive disorders,3,Rate,2019,5139.026006065256,5712.194022767257,4594.843825884849
5,Prevalence,86,Italy,3,Both,39,0-14 years,567,Depressive disorders,1,Number,2019,45026.474048344375,62215.42550081988,31330.997796294272
5,Prevalence,86,Italy,3,Both,39,0-14 years,567,Depressive disorders,2,Percent,2019,0.006965536097608658,0.009649401583048271,0.00487258118744633
5,Prevalence,86,Italy,3,Both,39,0-14 years,567,Depressive disorders,3,Rate,2019,566.3515814169385,782.5574923562707,394.0872680869921
5,Prevalence,86,Italy,3,Both,41,50-74 years,567,Depressive disorders,1,Number,2019,1076982.1597922177,1249567.0503553613,902581.9840479194
5,Prevalence,86,Italy,3,Both,41,50-74 years,567,Depressive disorders,2,Percent,2019,0.054141681779582895,0.06281761200950675,0.04538900738640515
5,Prevalence,86,Italy,3,Both,41,50-74 years,567,Depressive disorders,3,Rate,2019,5399.7297007933485,6265.028861980726,4525.329136004279
5,Prevalence,86,Italy,3,Both,42,<28 days,567,Depressive disorders,1,Number,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,42,<28 days,567,Depressive disorders,2,Percent,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,42,<28 days,567,Depressive disorders,3,Rate,2019,0.0,0.0,0.0
5,Prevalence,86,Italy,3,Both,157,25+ years,567,Depressive disorders,1,Number,2019,2413470.7786649847,2684791.2628586455,2152165.546696932
5,Prevalence,86,Italy,3,Both,157,25+ years,567,Depressive disorders,2,Percent,2019,0.052283148265582446,0.058186369964791276,0.04665668848627582
