"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.716,,
"ITCD","Nord","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.36,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",62.848,,
"ITC1","Piemonte","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.804,,
"IT","Italy","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.864,,
"ITC","Nord-ovest","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.259,,
"ITC3","Liguria","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.109,,
"ITF5","Basilicata","LIFEXP","life expectancy - ex","9","total","Y22","22 years","2021","2021",60.757,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.42,,
"ITF4","Puglia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.38,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",63.525,,
"ITD1","Provincia Autonoma Bolzano / Bozen","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.883,,
"ITFG","Mezzogiorno","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",57.015,,
"ITE2","Umbria","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.615,,
"ITDA","Trentino Alto Adige / Südtirol","LIFEXP","life expectancy - ex","9","total","Y20","20 years","2021","2021",64.032,,
"ITE1","Toscana","LIFEXP","life expectancy - ex","9","total","Y25","25 years","2021","2021",58.503,,
"ITE4","Lazio","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",61.899,,
"ITC4","Lombardia","LIFEXP","life expectancy - ex","9","total","Y21","21 years","2021","2021",62.494,,
