"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",58850717,"e","dato stimato"
"001272","Torino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",841600,"e","dato stimato"
"002158","Vercelli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",45206,"e","dato stimato"
"023091","Verona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",255588,"e","dato stimato"
"024116","Vicenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",109823,"e","dato stimato"
"025006","Belluno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",35529,"e","dato stimato"
"026086","Treviso","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",84607,"e","dato stimato"
"027042","Venezia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",250369,"e","dato stimato"
"028060","Padova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",206496,"e","dato stimato"
"029041","Rovigo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",49985,"e","dato stimato"
"030129","Udine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",97808,"e","dato stimato"
"031007","Gorizia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",33506,"e","dato stimato"
"032006","Trieste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",198417,"e","dato stimato"
"093033","Pordenone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2023","2023",51725,"e","dato stimato"
